"Level
(المستوى)","Chinese 
","Pinyin
","Arabic Translation
","Chinese Example
","Arabic Example
"
HSK 3,衬衫,chènshān,قميص,这件白衬衫很漂亮。 (26),هذا القميص الأبيض جميل جداً.
HSK 3,迟到,chídào,يتأخر,对不起，我迟到了。 (27),آسف، لقد تأخرت.
HSK 3,厨房,chúfáng,مطبخ,妈妈在厨房里做饭。 (28),أمي تطبخ في المطبخ.
HSK 3,聪明,cōngming,ذكي,这个孩子非常聪明。 (29),هذا الطفل ذكي جداً.
HSK 3,打算,dǎsuàn,ينوي / خطة,你周末打算做什么？ (30),ماذا تنوي أن تفعل في عطلة نهاية الأسبوع؟
HSK 3,带,dài,يحمل / يجلب,别忘了带雨伞。 (31),لا تنسَ أن تأخذ المظلة معك.
HSK 3,地图,dìtú,خريطة,手机上有电子地图。 (32),توجد خريطة إلكترونية على الهاتف.
HSK 3,锻炼,duànliàn,يتدرب / يمارس الرياضة,爷爷每天早晨去锻炼身体。 (33),جدي يذهب كل صباح لممارسة الرياضة.
HSK 3,方便,fāngbiàn,مريح / ملائم,在这里坐车很方便。 (34),ركوب الحوافل هنا مريح جداً.
HSK 3,放心,fàngxīn,يطمئن / يرتاح باله,请放心，我会好好照顾他的。 (35),اطمئن، سأعتني به جيداً.
HSK 3,满意,mǎnyì,راضٍ / مقتنع,经理对助手的工作很满意。 (36),المدير راضٍ جداً عن عمل المساعد.
HSK 3,愿意,yuànyì,يرغب / مستعد لـ,我愿意帮助你解决这个问题。 (37),أنا مستعد لمساعدتك في حل هذه المشكلة.
HSK 3,害怕,hàipà,خائف / يخشى,别害怕，这只狗不咬人。 (38),لا تخف، هذا الكلب لا يعض.
HSK 3,着急,zhāojí,قلق / مستعجل,别着急，我们还有时间。 (39),لا تقلق، ما زال لدينا وقت.
HSK 3,习惯,xíguàn,يعتاد على / عادة,我已经习惯了这里的气候。 (40),لقد اعتدت بالفعل على المناخ هنا.
HSK 3,班,bān,فصل دراسي / وردية عمل,我们班有二十个学生。 (41),فصلنا يحتوي على عشرين طالباً.
HSK 3,经理,jīnglǐ,مدير,王经理现在正在开会。 (42),المدير وانغ يعقد اجتماعاً الآن.
HSK 3,机会,jīhuì,فرصة,这是一个很难得的机会。 (43),هذه فرصة نادرة جداً.
HSK 3,决定,juédìng,يقرر / قرار,我决定明年去中国留学。 (44),قررت الذهاب للدراسة في الصين العام المقبل.
HSK 3,影响,yǐngxiǎng,تأثير / يؤثر على,看电视太多会影响学习。 (45),مشاهدة التلفاز كثيراً تؤثر على الدراسة.
HSK 3,了解,liǎojiě,يفهم / يستوعب عميقاً,我想了解一下当地的文化。 (46),أريد أن أتعرف على الثقافة المحلية.
HSK 3,需要,xūyào,يحتاج / حاجة,如果需要帮助，请告诉我。 (47),إذا كنت بحاجة إلى مساعدة، أخبرني من فضلك.
HSK 3,感觉,gǎnjué,يشعر / شعور,今天我感觉身体舒服多了。 (48),المعلم يقص علينا قصة.
HSK 3,认真,rènzhēn,جاد / مخلص,他学习非常认真。 (49),هو يدرس بجدية بالغة.
HSK 3,奇怪,qíguài,غريب / عجيب,这件事真奇怪。 (50),هذا الأمر غريب حقاً.
HSK 3,选择,xuǎnzhé,يختار / خيار,做出了正确的选择。 (51),اتخذ الخيار الصحيح.
HSK 3,练习,liànxí,يتدرب / تمرين,每天练习写汉字。 (52),يتدرب على كتابة الحروف الصينية يومياً.
HSK 3,提高,tígāo,يرفع / يحسن,我想提高我的汉语水平。 (53),أريد تحسين مستواي في اللغة الصينية.
HSK 3,完成,wánchéng,يُكمل / يُنجز,我已经完成了作业。 (54),لقد أكملت واجبي بالفعل.
HSK 3,安全,ānquán,آمن / سلامة,过马路要注意安全。 (55),انتبه للسلامة عند عبور الشارع.
HSK 3,阿姨,āyí,خالة / عمة,阿姨，请问洗手间在哪儿？ (56),يا خالة، أين دورة المياه من فضلك؟
HSK 3,把,bǎ,أداة لتقديم المفعول به,请把门打开。 (57),من فضلك افتح الباب.
HSK 3,饱,bǎo,شبعان,我已经吃饱了。 (58),لقد شبعت بالفعل.
HSK 3,冰箱,bīngxiāng,ثلاجة,把牛奶放进冰箱里吧。 (59),ضع الحليب في الثلاجة.
HSK 3,超市,chāoshì,سوبرماركت,我去超市买点东西。 (60),سأذهب إلى السوبرماركت لأشتري بعض الأشياء.
HSK 3,衬衫,chènshān,قميص,这件白衬衫很漂亮。 (61),هذا القميص الأبيض جميل جداً.
HSK 3,迟到,chídào,يتأخر,对不起，我迟到了。 (62),آسف، لقد تأخرت.
HSK 3,厨房,chúfáng,مطبخ,妈妈在厨房里做饭。 (63),أمي تطبخ في المطبخ.
HSK 3,聪明,cōngming,ذكي,这个孩子非常聪明。 (64),هذا الطفل ذكي جداً.
HSK 3,打算,dǎsuàn,ينوي / خطة,你周末打算做什么？ (65),ماذا تنوي أن تفعل في عطلة نهاية الأسبوع؟
HSK 3,带,dài,يحمل / يجلب,别忘了带雨伞。 (66),لا تنسَ أن تأخذ المظلة معك.
HSK 3,地图,dìtú,خريطة,手机上有电子地图。 (67),توجد خريطة إلكترونية على الهاتف.
HSK 3,锻炼,duànliàn,يتدرب / يمارس الرياضة,爷爷每天早晨去锻炼身体。 (68),جدي يذهب كل صباح لممارسة الرياضة.
HSK 3,方便,fāngbiàn,مريح / ملائم,在这里坐车很方便。 (69),ركوب الحوافل هنا مريح جداً.
HSK 3,放心,fàngxīn,يطمئن / يرتاح باله,请放心，我会好好照顾他的。 (70),اطمئن، سأعتني به جيداً.
HSK 3,满意,mǎnyì,راضٍ / مقتنع,经理对助手的工作很满意。 (71),المدير راضٍ جداً عن عمل المساعد.
HSK 3,愿意,yuànyì,يرغب / مستعد لـ,我愿意帮助你解决这个问题。 (72),أنا مستعد لمساعدتك في حل هذه المشكلة.
HSK 3,害怕,hàipà,خائف / يخشى,别害怕，这只狗不咬人。 (73),لا تخف، هذا الكلب لا يعض.
HSK 3,着急,zhāojí,قلق / مستعجل,别着急，我们还有时间。 (74),لا تقلق، ما زال لدينا وقت.
HSK 3,习惯,xíguàn,يعتاد على / عادة,我已经习惯了这里的气候。 (75),لقد اعتدت بالفعل على المناخ هنا.
HSK 3,班,bān,فصل دراسي / وردية عمل,我们班有二十个学生。 (76),فصلنا يحتوي على عشرين طالباً.
HSK 3,经理,jīnglǐ,مدير,王经理现在正在开会。 (77),المدير وانغ يعقد اجتماعاً الآن.
HSK 3,机会,jīhuì,فرصة,这是一个很难得的机会。 (78),هذه فرصة نادرة جداً.
HSK 3,决定,juédìng,يقرر / قرار,我决定明年去中国留学。 (79),قررت الذهاب للدراسة في الصين العام المقبل.
HSK 3,影响,yǐngxiǎng,تأثير / يؤثر على,看电视太多会影响学习。 (80),مشاهدة التلفاز كثيراً تؤثر على الدراسة.
HSK 3,了解,liǎojiě,يفهم / يستوعب عميقاً,我想了解一下当地的文化。 (81),أريد أن أتعرف على الثقافة المحلية.
HSK 3,需要,xūyào,يحتاج / حاجة,如果需要帮助，请告诉我。 (82),إذا كنت بحاجة إلى مساعدة، أخبرني من فضلك.
HSK 3,感觉,gǎnjué,يشعر / شعور,今天我感觉身体舒服多了。 (83),المعلم يقص علينا قصة.
HSK 3,认真,rènzhēn,جاد / مخلص,他学习非常认真。 (84),هو يدرس بجدية بالغة.
HSK 3,奇怪,qíguài,غريب / عجيب,这件事真奇怪。 (85),هذا الأمر غريب حقاً.
HSK 3,选择,xuǎnzhé,يختار / خيار,做出了正确的选择。 (86),اتخذ الخيار الصحيح.
HSK 3,练习,liànxí,يتدرب / تمرين,每天练习写汉字。 (87),يتدرب على كتابة الحروف الصينية يومياً.
HSK 3,提高,tígāo,يرفع / يحسن,我想提高我的汉语水平。 (88),أريد تحسين مستواي في اللغة الصينية.
HSK 3,完成,wánchéng,يُكمل / يُنجز,我已经完成了作业。 (89),لقد أكملت واجبي بالفعل.
HSK 3,安全,ānquán,آمن / سلامة,过马路要注意安全。 (90),انتبه للسلامة عند عبور الشارع.
HSK 3,阿姨,āyí,خالة / عمة,阿姨，请问洗手间在哪儿？ (91),يا خالة، أين دورة المياه من فضلك؟
HSK 3,把,bǎ,أداة لتقديم المفعول به,请把门打开。 (92),من فضلك افتح الباب.
HSK 3,饱,bǎo,شبعان,我已经吃饱了。 (93),لقد شبعت بالفعل.
HSK 3,冰箱,bīngxiāng,ثلاجة,把牛奶放进冰箱里吧。 (94),ضع الحليب في الثلاجة.
HSK 3,超市,chāoshì,سوبرماركت,我去超市买点东西。 (95),سأذهب إلى السوبرماركت لأشتري بعض الأشياء.
HSK 3,衬衫,chènshān,قميص,这件白衬衫很漂亮。 (96),هذا القميص الأبيض جميل جداً.
HSK 3,迟到,chídào,يتأخر,对不起，我迟到了。 (97),آسف، لقد تأخرت.
HSK 3,厨房,chúfáng,مطبخ,妈妈在厨房里做饭。 (98),أمي تطبخ في المطبخ.
HSK 3,聪明,cōngming,ذكي,这个孩子非常聪明。 (99),هذا الطفل ذكي جداً.
HSK 3,打算,dǎsuàn,ينوي / خطة,你周末打算做什么？ (100),ماذا تنوي أن تفعل في عطلة نهاية الأسبوع؟
HSK 3,带,dài,يحمل / يجلب,别忘了带雨伞。 (101),لا تنسَ أن تأخذ المظلة معك.
HSK 3,地图,dìtú,خريطة,手机上有电子地图。 (102),توجد خريطة إلكترونية على الهاتف.
HSK 3,锻炼,duànliàn,يتدرب / يمارس الرياضة,爷爷每天早晨去锻炼身体。 (103),جدي يذهب كل صباح لممارسة الرياضة.
HSK 3,方便,fāngbiàn,مريح / ملائم,在这里坐车很方便。 (104),ركوب الحوافل هنا مريح جداً.
HSK 3,放心,fàngxīn,يطمئن / يرتاح باله,请放心，我会好好照顾他的。 (105),اطمئن، سأعتني به جيداً.
HSK 3,满意,mǎnyì,راضٍ / مقتنع,经理对助手的工作很满意。 (106),المدير راضٍ جداً عن عمل المساعد.
HSK 3,愿意,yuànyì,يرغب / مستعد لـ,我愿意帮助你解决这个问题。 (107),أنا مستعد لمساعدتك في حل هذه المشكلة.
HSK 3,害怕,hàipà,خائف / يخشى,别害怕，这只狗不咬人。 (108),لا تخف، هذا الكلب لا يعض.
HSK 3,着急,zhāojí,قلق / مستعجل,别着急，我们还有时间。 (109),لا تقلق، ما زال لدينا وقت.
HSK 3,习惯,xíguàn,يعتاد على / عادة,我已经习惯了这里的气候。 (110),لقد اعتدت بالفعل على المناخ هنا.
HSK 3,班,bān,فصل دراسي / وردية عمل,我们班有二十个学生。 (111),فصلنا يحتوي على عشرين طالباً.
HSK 3,经理,jīnglǐ,مدير,王经理现在正在开会。 (112),المدير وانغ يعقد اجتماعاً الآن.
HSK 3,机会,jīhuì,فرصة,这是一个很难得的机会。 (113),هذه فرصة نادرة جداً.
HSK 3,决定,juédìng,يقرر / قرار,我决定明年去中国留学。 (114),قررت الذهاب للدراسة في الصين العام المقبل.
HSK 3,影响,yǐngxiǎng,تأثير / يؤثر على,看电视太多会影响学习。 (115),مشاهدة التلفاز كثيراً تؤثر على الدراسة.
HSK 3,了解,liǎojiě,يفهم / يستوعب عميقاً,我想了解一下当地的文化。 (116),أريد أن أتعرف على الثقافة المحلية.
HSK 3,需要,xūyào,يحتاج / حاجة,如果需要帮助，请告诉我。 (117),إذا كنت بحاجة إلى مساعدة، أخبرني من فضلك.
HSK 3,感觉,gǎnjué,يشعر / شعور,今天我感觉身体舒服多了。 (118),المعلم يقص علينا قصة.
HSK 3,认真,rènzhēn,جاد / مخلص,他学习非常认真。 (119),هو يدرس بجدية بالغة.
HSK 3,奇怪,qíguài,غريب / عجيب,这件事真奇怪。 (120),هذا الأمر غريب حقاً.
HSK 3,选择,xuǎnzhé,يختار / خيار,做出了正确的选择。 (121),اتخذ الخيار الصحيح.
HSK 3,练习,liànxí,يتدرب / تمرين,每天练习写汉字。 (122),يتدرب على كتابة الحروف الصينية يومياً.
HSK 3,提高,tígāo,يرفع / يحسن,我想提高我的汉语水平。 (123),أريد تحسين مستواي في اللغة الصينية.
HSK 3,完成,wánchéng,يُكمل / يُنجز,我已经完成了作业。 (124),لقد أكملت واجبي بالفعل.
HSK 3,安全,ānquán,آمن / سلامة,过马路要注意安全。 (125),انتبه للسلامة عند عبور الشارع.
HSK 3,阿姨,āyí,خالة / عمة,阿姨，请问洗手间在哪儿？ (126),يا خالة، أين دورة المياه من فضلك؟
HSK 3,把,bǎ,أداة لتقديم المفعول به,请把门打开。 (127),من فضلك افتح الباب.
HSK 3,饱,bǎo,شبعان,我已经吃饱了。 (128),لقد شبعت بالفعل.
HSK 3,冰箱,bīngxiāng,ثلاجة,把牛奶放进冰箱里吧。 (129),ضع الحليب في الثلاجة.
HSK 3,超市,chāoshì,سوبرماركت,我去超市买点东西。 (130),سأذهب إلى السوبرماركت لأشتري بعض الأشياء.
HSK 3,衬衫,chènshān,قميص,这件白衬衫很漂亮。 (131),هذا القميص الأبيض جميل جداً.
HSK 3,迟到,chídào,يتأخر,对不起，我迟到了。 (132),آسف، لقد تأخرت.
HSK 3,厨房,chúfáng,مطبخ,妈妈在厨房里做饭。 (133),أمي تطبخ في المطبخ.
HSK 3,聪明,cōngming,ذكي,这个孩子非常聪明。 (134),هذا الطفل ذكي جداً.
HSK 3,打算,dǎsuàn,ينوي / خطة,你周末打算做什么？ (135),ماذا تنوي أن تفعل في عطلة نهاية الأسبوع؟
HSK 3,带,dài,يحمل / يجلب,别忘了带雨伞。 (136),لا تنسَ أن تأخذ المظلة معك.
HSK 3,地图,dìtú,خريطة,手机上有电子地图。 (137),توجد خريطة إلكترونية على الهاتف.
HSK 3,锻炼,duànliàn,يتدرب / يمارس الرياضة,爷爷每天早晨去锻炼身体。 (138),جدي يذهب كل صباح لممارسة الرياضة.
HSK 3,方便,fāngbiàn,مريح / ملائم,在这里坐车很方便。 (139),ركوب الحوافل هنا مريح جداً.
HSK 3,放心,fàngxīn,يطمئن / يرتاح باله,请放心，我会好好照顾他的。 (140),اطمئن، سأعتني به جيداً.
HSK 3,满意,mǎnyì,راضٍ / مقتنع,经理对助手的工作很满意。 (141),المدير راضٍ جداً عن عمل المساعد.
HSK 3,愿意,yuànyì,يرغب / مستعد لـ,我愿意帮助你解决这个问题。 (142),أنا مستعد لمساعدتك في حل هذه المشكلة.
HSK 3,害怕,hàipà,خائف / يخشى,别害怕，这只狗不咬人。 (143),لا تخف، هذا الكلب لا يعض.
HSK 3,着急,zhāojí,قلق / مستعجل,别着急，我们还有时间。 (144),لا تقلق، ما زال لدينا وقت.
HSK 3,习惯,xíguàn,يعتاد على / عادة,我已经习惯了这里的气候。 (145),لقد اعتدت بالفعل على المناخ هنا.
HSK 3,班,bān,فصل دراسي / وردية عمل,我们班有二十个学生。 (146),فصلنا يحتوي على عشرين طالباً.
HSK 3,经理,jīnglǐ,مدير,王经理现在正在开会。 (147),المدير وانغ يعقد اجتماعاً الآن.
HSK 3,机会,jīhuì,فرصة,这是一个很难得的机会。 (148),هذه فرصة نادرة جداً.
HSK 3,决定,juédìng,يقرر / قرار,我决定明年去中国留学。 (149),قررت الذهاب للدراسة في الصين العام المقبل.
HSK 3,影响,yǐngxiǎng,تأثير / يؤثر على,看电视太多会影响学习。 (150),مشاهدة التلفاز كثيراً تؤثر على الدراسة.
HSK 4,安排,ānpái,يرتب / يخطط,下午的工作已经安排好了。 (1),عمل بعد الظهر تم ترتيبه بالفعل.
HSK 4,标准,biāozhǔn,معيار / قياسي,他的普通话很标准。 (2),لغته القياسية معيارية ودقيقة جداً.
HSK 4,表达,biǎodá,يعبّر عن,有些想法很难用语言表达。 (3),بعض الأفكار يصعب التعبير عنها بالكلمات.
HSK 4,毕业,bìyè,يتخرج,我去年从北京大学毕业。 (4),تخرجت من جامعة بكين العام الماضي.
HSK 4,并且,bìngqiě,وعلاوة على ذلك,她聪明并且非常努力。 (5),إنها ذكية وعلاوة على ذلك مجتهدة جداً.
HSK 4,博士,bóshì,دكتوراه,他考上了清华大学的博士。 (6),تم قبوله لدراسة الدكتوراه في جامعة تسينغهوا.
HSK 4,材料,cáiliào,مواد / وثائق,请把面试的材料准备好。 (7),من فضلك جهز وثائق المقابلة الشخصية.
HSK 4,诚实,chéngshí,صادق / أمين,诚实是做人最重要的品质。 (8),الصدق هو أهم صفة في إنسانية الشخص.
HSK 4,成熟,chéngshú,ناضج,我觉得他变得成熟多了。 (9),أشعر أنه أصبح أكثر نضجاً بكثير.
HSK 4,法律,fǎlǜ,قانون,每个人都应该遵守法律。 (10),يجب على كل شخص أن يحترم القانون.
HSK 4,翻译,fānyì,يترجم / مترجم,你能帮我翻译这句话吗？ (11),هل يمكنك مساعدتي في ترجمة هذه الجملة؟
HSK 4,否则,fǒuzé,وإلا / عدا ذلك,快点，否则我们就会迟到。 (12),أسرع، وإلا فسنتأخر.
HSK 4,负责,fùzé,مسؤول عن,他是负责这个项目的经理。 (13),هو المدير المسؤول عن هذا المشروع.
HSK 4,复印,fùyìn,يصوّر مستندات,请帮我复印这张表格。 (14),من فضلك ساعدني في نسخ هذه الاستمارة.
HSK 4,复杂,fùzá,معقد,这个问题太复杂，我需要想想。 (15),هذه المسألة معقدة للغاية، أحتاج للتفكير.
HSK 4,关键,guānjiàn,مفتاح الحل,努力是成功的关键。 (16),الاجتهاد هو مفتاح النجاح.
HSK 4,管理,guǎnlǐ,يدير / إدارة,他在大学学的是工商管理。 (17),درس إدارة الأعمال في الجامعة.
HSK 4,即使,jíshǐ,حتى لو,即使明天天下雨，我也会去。 (18),حتى لو أمطرت غداً، سأذهب.
HSK 4,技术,jìshù,تكنولوجيا / مهارة,他的开车技术非常好。 (19),مهارته في قيادة السيارة ممتازة جداً.
HSK 4,积累,jīlěi,يراكم / تراكم,在工作中可以积累很多经验。 (20),يمكن للمرء أن يراكم الكثير من الخبرة في العمل.
HSK 4,计划,jìhuà,خطة / يخطط,你的暑假计划是什么？ (21),ما هي خطتك لإجازة الصيف؟
HSK 4,降低,jiàngdī,يخفض / يقلل,商店为了吸引顾客降低了价格。 (22),خفض المتجر الأسعار لجذب الزبائن.
HSK 4,交流,jiāoliú,يتواصل / يتبادل,多跟中国人交流能提高口语。 (23),التواصل كثيراً مع الصينيين يحسن المحادثة.
HSK 4,坚持,jiānchí,يتمسك بـ / يصر على,只要坚持，你就一定能成功。 (24),طالما تصر وتستمر، ستنجح بكل تأكيد.
HSK 4,举办,jǔbàn,يقيم / ينظم,学校将举办汉语演讲比赛。 (25),ستقيم المدرسة مسابقة للخطابة باللغة الصينية.
HSK 4,困难,kùnnan,صعوبة / صعب,遇到困难时不要放弃。 (26),لا تستسلم عندما تواجه الصعوبات.
HSK 4,保护,bǎohù,يحمي / حماية,保护环境是每个人的责任。 (27),حماية البيئة مسؤولية كل فرد.
HSK 4,保证,bǎozhèng,يضمن / يتعهد,我保证按时完成这项任务。 (28),أنا أتعهد بإنهاء هذه المهمة في الوقت المحدد.
HSK 4,抱歉,bàoqiàn,آسف,非常抱歉，让你久等了。 (29),أنا آسف جداً، جعلتك تنتظر طويلاً.
HSK 4,本来,běnlái,في الأصل,我本来想去，但是突然有事。 (30),كنت أنوي الذهاب في الأصل، ولكن ظهر لي أمر مفاجئ.
HSK 4,笔记本,bǐjìbwěn,كمبيوتر محمول,我刚买了一台新笔记本电脑。 (31),لقد اشتريت للتو جهاز كمبيوتر محمول جديد.
HSK 4,表格,biǎogé,استمارة,请在表格里填写你的个人信息。 (32),الرجاء تعبئة معلوماتك الشخصية في الاستمارة.
HSK 4,表扬,biǎoyáng,يمدح,老师在全班面前表扬了他。 (33),مدحه المعلم أمام الفصل بأكمله.
HSK 4,不管,bùguǎn,بغض النظر عن,不管明天下不下雨，我都要去。 (34),بغض النظر عما إذا كانت ستمطر غداً أم لا، سأذهب.
HSK 4,不仅,bùjǐn,ليس فقط,他不仅会说汉语，还会说法语。 (35),هو لا يتحدث الصينية فحسب، بل يتحدث الفرنسية أيضاً.
HSK 4,安排,ānpái,يرتب / يخطط,下午的工作已经安排好了。 (36),عمل بعد الظهر تم ترتيبه بالفعل.
HSK 4,标准,biāozhǔn,معيار / قياسي,他的普通话很标准。 (37),لغته القياسية معيارية ودقيقة جداً.
HSK 4,表达,biǎodá,يعبّر عن,有些想法很难用语言表达。 (38),بعض الأفكار يصعب التعبير عنها بالكلمات.
HSK 4,毕业,bìyè,يتخرج,我去年从北京大学毕业。 (39),تخرجت من جامعة بكين العام الماضي.
HSK 4,并且,bìngqiě,وعلاوة على ذلك,她聪明并且非常努力。 (40),إنها ذكية وعلاوة على ذلك مجتهدة جداً.
HSK 4,博士,bóshì,دكتوراه,他考上了清华大学的博士。 (41),تم قبوله لدراسة الدكتوراه في جامعة تسينغهوا.
HSK 4,材料,cáiliào,مواد / وثائق,请把面试的材料准备好。 (42),من فضلك جهز وثائق المقابلة الشخصية.
HSK 4,诚实,chéngshí,صادق / أمين,诚实是做人最重要的品质。 (43),الصدق هو أهم صفة في إنسانية الشخص.
HSK 4,成熟,chéngshú,ناضج,我觉得他变得成熟多了。 (44),أشعر أنه أصبح أكثر نضجاً بكثير.
HSK 4,法律,fǎlǜ,قانون,每个人都应该遵守法律。 (45),يجب على كل شخص أن يحترم القانون.
HSK 4,翻译,fānyì,يترجم / مترجم,你能帮我翻译这句话吗？ (46),هل يمكنك مساعدتي في ترجمة هذه الجملة؟
HSK 4,否则,fǒuzé,وإلا / عدا ذلك,快点，否则我们就会迟到。 (47),أسرع، وإلا فسنتأخر.
HSK 4,负责,fùzé,مسؤول عن,他是负责这个项目的经理。 (48),هو المدير المسؤول عن هذا المشروع.
HSK 4,复印,fùyìn,يصوّر مستندات,请帮我复印这张表格。 (49),من فضلك ساعدني في نسخ هذه الاستمارة.
HSK 4,复杂,fùzá,معقد,这个问题太复杂，我需要想想。 (50),هذه المسألة معقدة للغاية، أحتاج للتفكير.
HSK 4,关键,guānjiàn,مفتاح الحل,努力是成功的关键。 (51),الاجتهاد هو مفتاح النجاح.
HSK 4,管理,guǎnlǐ,يدير / إدارة,他在大学学的是工商管理。 (52),درس إدارة الأعمال في الجامعة.
HSK 4,即使,jíshǐ,حتى لو,即使明天天下雨，我也会去。 (53),حتى لو أمطرت غداً، سأذهب.
HSK 4,技术,jìshù,تكنولوجيا / مهارة,他的开车技术非常好。 (54),مهارته في قيادة السيارة ممتازة جداً.
HSK 4,积累,jīlěi,يراكم / تراكم,在工作中可以积累很多经验。 (55),يمكن للمرء أن يراكم الكثير من الخبرة في العمل.
HSK 4,计划,jìhuà,خطة / يخطط,你的暑假计划是什么？ (56),ما هي خطتك لإجازة الصيف؟
HSK 4,降低,jiàngdī,يخفض / يقلل,商店为了吸引顾客降低了价格。 (57),خفض المتجر الأسعار لجذب الزبائن.
HSK 4,交流,jiāoliú,يتواصل / يتبادل,多跟中国人交流能提高口语。 (58),التواصل كثيراً مع الصينيين يحسن المحادثة.
HSK 4,坚持,jiānchí,يتمسك بـ / يصر على,只要坚持，你就一定能成功。 (59),طالما تصر وتستمر، ستنجح بكل تأكيد.
HSK 4,举办,jǔbàn,يقيم / ينظم,学校将举办汉语演讲比赛。 (60),ستقيم المدرسة مسابقة للخطابة باللغة الصينية.
HSK 4,困难,kùnnan,صعوبة / صعب,遇到困难时不要放弃。 (61),لا تستسلم عندما تواجه الصعوبات.
HSK 4,保护,bǎohù,يحمي / حماية,保护环境是每个人的责任。 (62),حماية البيئة مسؤولية كل فرد.
HSK 4,保证,bǎozhèng,يضمن / يتعهد,我保证按时完成这项任务。 (63),أنا أتعهد بإنهاء هذه المهمة في الوقت المحدد.
HSK 4,抱歉,bàoqiàn,آسف,非常抱歉，让你久等了。 (64),أنا آسف جداً، جعلتك تنتظر طويلاً.
HSK 4,本来,běnlái,في الأصل,我本来想去，但是突然有事。 (65),كنت أنوي الذهاب في الأصل، ولكن ظهر لي أمر مفاجئ.
HSK 4,笔记本,bǐjìbwěn,كمبيوتر محمول,我刚买了一台新笔记本电脑。 (66),لقد اشتريت للتو جهاز كمبيوتر محمول جديد.
HSK 4,表格,biǎogé,استمارة,请在表格里填写你的个人信息。 (67),الرجاء تعبئة معلوماتك الشخصية في الاستمارة.
HSK 4,表扬,biǎoyáng,يمدح,老师在全班面前表扬了他。 (68),مدحه المعلم أمام الفصل بأكمله.
HSK 4,不管,bùguǎn,بغض النظر عن,不管明天下不下雨，我都要去。 (69),بغض النظر عما إذا كانت ستمطر غداً أم لا، سأذهب.
HSK 4,不仅,bùjǐn,ليس فقط,他不仅会说汉语，还会说法语。 (70),هو لا يتحدث الصينية فحسب، بل يتحدث الفرنسية أيضاً.
HSK 4,安排,ānpái,يرتب / يخطط,下午的工作已经安排好了。 (71),عمل بعد الظهر تم ترتيبه بالفعل.
HSK 4,标准,biāozhǔn,معيار / قياسي,他的普通话很标准。 (72),لغته القياسية معيارية ودقيقة جداً.
HSK 4,表达,biǎodá,يعبّر عن,有些想法很难用语言表达。 (73),بعض الأفكار يصعب التعبير عنها بالكلمات.
HSK 4,毕业,bìyè,يتخرج,我去年从北京大学毕业。 (74),تخرجت من جامعة بكين العام الماضي.
HSK 4,并且,bìngqiě,وعلاوة على ذلك,她聪明并且非常努力。 (75),إنها ذكية وعلاوة على ذلك مجتهدة جداً.
HSK 4,博士,bóshì,دكتوراه,他考上了清华大学的博士。 (76),تم قبوله لدراسة الدكتوراه في جامعة تسينغهوا.
HSK 4,材料,cáiliào,مواد / وثائق,请把面试的材料准备好。 (77),من فضلك جهز وثائق المقابلة الشخصية.
HSK 4,诚实,chéngshí,صادق / أمين,诚实是做人最重要的品质。 (78),الصدق هو أهم صفة في إنسانية الشخص.
HSK 4,成熟,chéngshú,ناضج,我觉得他变得成熟多了。 (79),أشعر أنه أصبح أكثر نضجاً بكثير.
HSK 4,法律,fǎlǜ,قانون,每个人都应该遵守法律。 (80),يجب على كل شخص أن يحترم القانون.
HSK 4,翻译,fānyì,يترجم / مترجم,你能帮我翻译这句话吗？ (81),هل يمكنك مساعدتي في ترجمة هذه الجملة؟
HSK 4,否则,fǒuzé,وإلا / عدا ذلك,快点，否则我们就会迟到。 (82),أسرع، وإلا فسنتأخر.
HSK 4,负责,fùzé,مسؤول عن,他是负责这个项目的经理。 (83),هو المدير المسؤول عن هذا المشروع.
HSK 4,复印,fùyìn,يصوّر مستندات,请帮我复印这张表格。 (84),من فضلك ساعدني في نسخ هذه الاستمارة.
HSK 4,复杂,fùzá,معقد,这个问题太复杂，我需要想想。 (85),هذه المسألة معقدة للغاية، أحتاج للتفكير.
HSK 4,关键,guānjiàn,مفتاح الحل,努力是成功的关键。 (86),الاجتهاد هو مفتاح النجاح.
HSK 4,管理,guǎnlǐ,يدير / إدارة,他在大学学的是工商管理。 (87),درس إدارة الأعمال في الجامعة.
HSK 4,即使,jíshǐ,حتى لو,即使明天天下雨，我也会去。 (88),حتى لو أمطرت غداً، سأذهب.
HSK 4,技术,jìshù,تكنولوجيا / مهارة,他的开车技术非常好。 (89),مهارته في قيادة السيارة ممتازة جداً.
HSK 4,积累,jīlěi,يراكم / تراكم,在工作中可以积累很多经验。 (90),يمكن للمرء أن يراكم الكثير من الخبرة في العمل.
HSK 4,计划,jìhuà,خطة / يخطط,你的暑假计划是什么？ (91),ما هي خطتك لإجازة الصيف؟
HSK 4,降低,jiàngdī,يخفض / يقلل,商店为了吸引顾客降低了价格。 (92),خفض المتجر الأسعار لجذب الزبائن.
HSK 4,交流,jiāoliú,يتواصل / يتبادل,多跟中国人交流能提高口语。 (93),التواصل كثيراً مع الصينيين يحسن المحادثة.
HSK 4,坚持,jiānchí,يتمسك بـ / يصر على,只要坚持，你就一定能成功。 (94),طالما تصر وتستمر، ستنجح بكل تأكيد.
HSK 4,举办,jǔbàn,يقيم / ينظم,学校将举办汉语演讲比赛。 (95),ستقيم المدرسة مسابقة للخطابة باللغة الصينية.
